archivo,HOMO_eV,LUMO_eV,GAP_Ev
1.5nm-0pure-0percent.xyz,-8.8275,-8.5521,0.002505264597
1.5nm-10Bdoped-7percent.xyz,-9.5132,-9.2299,0.056162959131
1.5nm-10Ndoped-7percent.xyz,-7.2376,-6.9757,0.086087072472
1.5nm-10Odoped-7percent.xyz,-8.285,,0.154063008971
1.5nm-10Pdoped-7percent.xyz,-8.9109,,0.109791708064
1.5nm-10Sdoped-7percent.xyz,-8.689,,0.152957992805
1.5nm-2Bdoped-1.5percent.xyz,-9.2881,,0.338941617161
1.5nm-2Ndoped-1.5percent.xyz,-8.5117,,0.315246591928
1.5nm-2Odoped-1.5percent.xyz,-8.6763,,0.32286344741
1.5nm-2Pdoped-1.5percent.xyz,-8.7028,,0.326201174754
1.5nm-2Sdoped-1.5percent.xyz,-8.7234,,0.321898251518
1.5nm-4Bdoped-3percent.xyz,-9.5698,,0.994624604594
1.5nm-4Ndoped-3percent.xyz,-8.7356,,0.993569325111
1.5nm-4Odoped-3percent.xyz,-9.1893,,1.093542755147
1.5nm-4Pdoped-3percent.xyz,-9.4345,,1.106817501965
1.5nm-4Sdoped-3percent.xyz,-9.2714,,1.025119909134
1.5nm-6Bdoped-5percent.xyz,-9.2881,,0.338940703164
1.5nm-6Ndoped-5percent.xyz,-7.5477,-7.3319,0.353017635916
1.5nm-6Odoped-5percent.xyz,-8.6996,-8.0737,0.625884828699
1.5nm-6Pdoped-5percent.xyz,-9.0635,-8.5509,0.512581120076
1.5nm-6Sdoped-5percent.xyz,-9.0836,-8.4776,0.605997845078
1nm-0pure-0percent.xyz,-8.7121,,0.160068984251
1nm-2Bdoped-3percent.xyz,-9.5144,,1.057761173049
1nm-2Ndoped-3percent.xyz,-8.8641,,1.062667486914
1nm-2Odoped-3percent.xyz,-9.2423,,1.121163714661
1nm-2Pdoped-3percent.xyz,-9.3925,,1.137528285414
1nm-2Sdoped-3percent.xyz,-9.2991,,1.072721757128
1nm-4Bdoped-5percent.xyz,-9.8209,-9.0252,0.795701561564
1nm-4Ndoped-5percent.xyz,-8.0223,,1.022464647274
1nm-4Odoped-5percent.xyz,-8.7419,,1.024616573488
1nm-4Pdoped-5percent.xyz,-9.253,-8.4131,0.839924555681
1nm-4Sdoped-5percent.xyz,-8.9243,-8.1032,0.821096964847
1nm-5Bdoped-7percent.xyz,-9.0251,,0.175929602224
1nm-5Ndoped-7percent.xyz,-7.7736,,0.330854458028
1nm-5Odoped-7percent.xyz,-8.3416,,0.196920714832
1nm-5Pdoped-7percent.xyz,-8.7309,,0.279579999486
1nm-5Sdoped-7percent.xyz,-8.6827,,0.1100977557
1nm-Bdoped-1.5percent.xyz,-8.4778,,0.149850468109
1nm-Ndoped--1.5percent.xyz,-8.2974,,0.03690720906
1nm-Odoped-1.5percent.xyz,-8.5029,,0.025236395106
1nm-Pdoped-1.5percent.xyz,-8.7597,,0.133133666539
1nm-Sdoped-1.5percent.xyz,-8.8865,,0.009069997135
2nm-0pure-0percent.xyz,-8.8071,-8.4475,8.963722e-05
2nm-12Bdoped-7percent.xyz,-9.1911,-9.0685,0.027215129235
2nm-12Ndoped-7percent.xyz,-7.6289,-7.4979,0.072185508494
2nm-12Odoped-7percent.xyz,-8.5511,-8.2898,0.230291182893
2nm-12Pdoped-7percent.xyz,-8.8309,-8.6629,0.036660059804
2nm-12Sdoped-7percent.xyz,-8.3556,-8.2696,0.082746970605
2nm-3Bdoped-1.5percent.xyz,-8.4797,,0.030937515614
2nm-3Ndoped-1.5percent.xyz,-8.8879,,0.029667753418
2nm-3Odoped-1.5percent.xyz,-8.8883,-8.5732,0.007006878948
2nm-3Pdoped-1.5percent.xyz,-8.874,-8.5499,0.021538771879
2nm-3Sdoped-1.5percent.xyz,-8.9292,-8.6177,0.010569986388
2nm-5Bdoped-3percent.xyz,-8.9211,,0.067315165852
2nm-5Ndoped-3percent.xyz,-8.4999,-8.2412,0.061019150204
2nm-5Odoped-3percent.xyz,-8.6176,,0.126463474639
2nm-5Pdoped-3percent.xyz,-8.8186,-8.5822,0.006884219473
2nm-5Sdoped-3percent.xyz,-9.075,-8.6492,0.425831181968
2nm-9Bdoped-5percent.xyz,-9.0534,-8.8898,0.161384457172
2nm-9Ndoped-5percent.xyz,-7.9741,-7.8089,0.255048112544
2nm-9Odoped-5percent.xyz,-8.5958,-8.2803,0.115753036291
2nm-9Pdoped-5percent.xyz,-8.9479,-8.6373,0.097724109619
2nm-9Sdoped-5percent.xyz,-8.6311,-8.4386,0.142890453067
